Entity,Source,compound_id,data_source,compound_id_short
Compound::Bioarxivdrug:0,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:0,Bioarxivdrug,0
Compound::Bioarxivdrug:1,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:1,Bioarxivdrug,1
Compound::Bioarxivdrug:10,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:10,Bioarxivdrug,10
Compound::Bioarxivdrug:11,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:11,Bioarxivdrug,11
Compound::Bioarxivdrug:2,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:2,Bioarxivdrug,2
Compound::Bioarxivdrug:3,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:3,Bioarxivdrug,3
Compound::Bioarxivdrug:4,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:4,Bioarxivdrug,4
Compound::Bioarxivdrug:5,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:5,Bioarxivdrug,5
Compound::Bioarxivdrug:6,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:6,Bioarxivdrug,6
Compound::Bioarxivdrug:7,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:7,Bioarxivdrug,7
Compound::Bioarxivdrug:8,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:8,Bioarxivdrug,8
Compound::Bioarxivdrug:9,[Bibliograpic sources] Collection of datasources from paper: https://www.biorxiv.org/content/10.1101/2020.03.11.986836v1.full.pdf,Bioarxivdrug:9,Bioarxivdrug,9
Compound::CHEBI:10057,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:10057,CHEBI,10057
Compound::CHEBI:10983,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:10983,CHEBI,10983
Compound::CHEBI:109895,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:109895,CHEBI,109895
Compound::CHEBI:128458,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:128458,CHEBI,128458
Compound::CHEBI:12936,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:12936,CHEBI,12936
