,ERMLP,DISMULT,PairRE,TransR
adjusted_arithmetic_mean_rank,0.031073391717482777,0.02925396620311369,0.033369241538898524,0.03921120255827794
adjusted_arithmetic_mean_rank_index,0.9689465544328526,0.9707660174015909,0.966650657349482,0.960808576068535
adjusted_geometric_mean_rank_index,0.9903985305888027,0.9898990811073423,0.98838597160607,0.9827966161892131
adjusted_hits_at_k,0.046066317549047414,0.04228711510949263,0.03139041474210968,0.013880110105505859
adjusted_inverse_harmonic_mean_rank,0.025397967654311425,0.0232649853357383,0.016773639735852493,0.008378825591205848
arithmetic_mean_rank,1509.487060546875,1421.102783203125,1621.01513671875,1904.806640625
count,15878.0,15878.0,15878.0,15878.0
geometric_mean_rank,344.19439697265625,362.04669189453125,416.1311950683594,615.9168090820312
harmonic_mean_rank,39.18655086166544,42.760183771228824,59.186649481780115,117.62034983926831
hits_at_1,0.008565310492505354,0.007809547801990175,0.004093714573623882,0.0012596044841919638
hits_at_10,0.046164504345635474,0.04238569089305958,0.031490112104799094,0.013981609774530798
hits_at_3,0.020909434437586596,0.01876810681446026,0.011903262375614057,0.004219675022043078
hits_at_5,0.028656002015367176,0.02701851618591762,0.01776042322710669,0.007305706008313389
inverse_arithmetic_mean_rank,0.0006624766974709928,0.0007036788738332689,0.0006168973632156849,0.0005249876412563026
inverse_geometric_mean_rank,0.002905334811657667,0.0027620745822787285,0.002403088379651308,0.001623595948331058
inverse_harmonic_mean_rank,0.025518959388136864,0.023386241868138313,0.016895702134783586,0.0085019301623106
inverse_median_rank,0.0025445292703807354,0.0023041474632918835,0.0020703934133052826,0.0014836795162409544
median_absolute_deviation,515.9455720399495,557.4584341581063,609.3495118058024,770.953153622913
median_rank,393.0,434.0,483.0,674.0
standard_deviation,3590.234375,3733.772705078125,5109.05908203125,4544.994140625
variance,12889783.0,13941058.0,26102484.0,20656970.0
z_arithmetic_mean_rank,211.47220793006437,211.869305013991,210.97112928627396,209.69609732322428
z_geometric_mean_rank,124.8493352835964,124.78637935839615,124.59563723140546,123.89104028379737
z_hits_at_k,572.1258759189618,525.1896409202938,389.85683000746747,172.38560784697205
z_inverse_harmonic_mean_rank,778.0371943218794,712.695762232958,513.8409409869957,256.6755751256941
