,ERMLP,DISMULT,PairRE,TransR
adjusted_arithmetic_mean_rank,0.018771526240877277,0.03972547315403507,0.017864660366018997,0.019340477229957104
adjusted_arithmetic_mean_rank_index,0.9812488077952692,0.9602944266526477,0.9821556924631446,0.9806798450157957
adjusted_geometric_mean_rank_index,0.996687457541369,0.988582856994504,0.9975482469006249,0.9957826634711023
adjusted_hits_at_k,0.16380374815179144,0.07600741928563613,0.22058785000995831,0.13178618392834268
adjusted_inverse_harmonic_mean_rank,0.07538961482947443,0.03778464465888505,0.09189596124617161,0.05689356467264657
arithmetic_mean_rank,905.8475952148438,1917.0111083984375,862.08544921875,933.3031616210938
count,1174852.0,1174852.0,1174852.0,1174852.0
geometric_mean_rank,118.58929443359375,406.28802490234375,88.03282165527344,150.70785522460938
harmonic_mean_rank,13.244129927190382,26.381829120875313,10.86845089238683,17.54034858369503
hits_at_1,0.027579644074317445,0.01586497703540531,0.021081804346419805,0.012125782651772308
hits_at_10,0.16389043045421892,0.07610320278639351,0.22066864592306096,0.13187618525567477
hits_at_3,0.07910613421945913,0.03577812354236959,0.11376156315859359,0.06367355207294195
hits_at_5,0.10972360773952804,0.04989394408827665,0.1554434090421602,0.08838730325181385
inverse_arithmetic_mean_rank,0.0011039384407922626,0.0005216453573666513,0.0011599778663367033,0.0010714632226154208
inverse_geometric_mean_rank,0.008432464674115181,0.0024613081477582455,0.011359399184584618,0.006635354366153479
inverse_harmonic_mean_rank,0.07550514873362772,0.0379048774600971,0.09200943261384964,0.05701140973501343
inverse_median_rank,0.007751937955617905,0.00162601622287184,0.010526316240429878,0.005649717524647713
median_absolute_deviation,183.84267509469464,862.8744911702603,136.39940410251538,250.55977492744674
median_rank,129.0,615.0,95.0,177.0
standard_deviation,2401.192138671875,4411.94287109375,3115.906005859375,2572.906494140625
variance,5765723.5,19465240.0,9708870.0,6619847.5
z_arithmetic_mean_rank,1841.768826257392,1802.4382042424625,1843.4710162595961,1840.7009035223932
z_geometric_mean_rank,1069.6691881718968,1060.971134010758,1070.4096044326166,1068.6981411989648
z_hits_at_k,17437.40300432706,8091.219012731748,23482.241901554604,14029.03673139026
z_inverse_harmonic_mean_rank,19795.380542458664,9921.2792289235,24129.524037199313,14938.791843670611
